,ASIN,title,price,rating,review_count
67,B084QGWFTH,X9 Performance Slim 2.4G USB Wireless Keyboard for Laptop or Computer - Designed for Windows - 110 Key Layout with Numeric Keypad and 17 Shortcut Keys - Rechargeable PC Keyboard Wireless - Aluminum,31.99,4.5,252
68,B016Y2BVKA,Havit Wired Gaming Keyboard Mouse Combo LED Rainbow Backlit Gaming Keyboard RGB Gaming Mouse Ergonomic Wrist Rest 104 Keys Keyboard Mouse 4800 DPI for Windows & Mac PC Gamers (Black),25.49,4.5,12511
69,B084Q7PD8K,X9 Performance Slim Wired Keyboard for Laptop or Desktop - Designed for Windows PC - Convenient Full Size 110 Key Layout with 17 Shortcuts and 2 Port USB Hub - Plug and Play USB Keyboard - Aluminum,32.99,4.4,196
70,B08LMFP65P,"Backlit Keyboard for Mac OS, Jelly Comb Multi-Device Bluetooth Keyboard, Rechargeable Ultra-Slim Wireless Keyboard, Compatible with MacBook Pro/Air, iMac, iPhone, iPad Pro/Air/Mini",79.99,4.7,34
71,B08PTFL6N5,"Perixx PERIBOARD-210C Wired Full-Size USB C Keyboard with Quiet Scissor Keys - Compatible with Mac, iPad, Windows, Chromebook, Tablets, Desktop, and Laptops - Black - US English (PB-210CBUS-11729)",17.99,4.7,8
72,B08HWW99LT,"VictSing TKL Mechanical Keyboard, LED Gaming Mini Keyboard for Xbox PS4, Clicky & Tactile Blue Switch - Compact Tenkeyless - 33 Rainbow Backlit - Double Shot Keycaps - Metal Frame for PC Gamer, Black",27.99,4.7,91
73,B06XW8QXVG,"Perixx PERIBOARD-317 Wired Backlit USB Keyboard, Big Print Letter with White Illuminated LED, US English Layout",19.99,4.4,3950
74,B086168SJT,"FIODIO Mechanical Gaming Keyboard, LED Rainbow Gaming Backlit, 104 Anti-ghosting Keys, Quick-Response Black Switches, Multimedia Control for PC and Desktop Computer, with Removable Hand Rest",47.31,4.4,255
75,B0832CZNS5,RK ROYAL KLUDGE RK61 Wired 60% Mechanical Gaming Keyboard RGB Backlit Ultra-Compact Brown Switch White,54.99,4.6,2616
76,B087HFVLRK,X9 Performance Wireless Ergonomic Keyboard with Wrist Rest - Comfort meets Productivity - USB Wireless Keyboard with 104 Keys and 2 Tone Shiny Matte Finish - 2.4G RF PC Keyboard for Laptop or Computer,26.99,4.3,262
77,B08J6FC3F3,Corsair K60 RGB Pro Low Profile Mechanical Gaming Keyboard - Cherry MX Low Profile Speed Mechanical Keyswitches – Slim and Streamlined Durable Aluminum Frame - Customizable Per-Key RGB Backlighting,102.99,4.6,167
78,B086168Y25,"FIODIO Membrane Gaming Keyboard, USB Wired Keyboard with Rainbow Backlit, 104 Comfortable Quiet Silent Keys, 26 Anti-Ghosting Keys, Spill Resistant, Multimedia Control for PC and Desktop Computer",26.25,4.1,146
79,B01N11UUVP,"DBPOWER Gaming Keyboard with 3 Colors Breathing LED Backlit，Quiet Ergonomic Water-Resistant Mechanical Feeling Keyboard for PC Laptop Computer Game and Work(104 Keys, Black)",19.99,4.3,2219
80,B088CW5XTL,"NPET 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad, Ergonomic Design Wireless Keyboard with Easy Media Control for Computer/Desktop/PC/Laptop/Surface/Smart TV/Windows 10/8/7",14.99,4.3,347
81,B08B3CFL6W,Razer Huntsman Mini 60% Gaming Keyboard: Fastest Keyboard Switches Ever - Clicky Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White,119.99,4.7,9277
82,B08867HKVF,"MFTEK Gaming Keyboard and Mouse Combo with Large Mouse Pad, RGB Rainbow Backlit Gaming Keyboard and Illuminated Gaming Mouse, USB Wired Set for Computer PC Gamer Laptop Office Work",21.99,4.5,744
83,B07YYHZRLK,"RGB Gaming Keyboard and Colorful Mouse Combo,USB Wired LED Backlight Gaming Mouse and Keyboard for Laptop PC Computer Gaming and Work,Letter Glow,Mechanical Feeling",21.98,4.2,1218
84,B003NR874S,Logitech Media Combo MK200 Full-Size Keyboard and High-Definition Optical Mouse,,4.6,1076
85,B08HWV3PT7,"VicTsing Wireless Touchpad Keyboard, 2.4Ghz USB Mini Wireless TV Trackpad Keyboard for Tablet MacBook Windows Computer Gaming Device, Black",19.99,4.3,15
86,B07RQVB3HQ,"Manhattan Black Wired Keyboard (5 ft. USB-A Cable) with 104-keys, Foldable Stands, and LED Indicator Lights - Compatible for Windows",11.57,4.3,1224
87,B088CW5XTL,"NPET 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad, Ergonomic Design Wireless Keyboard with Easy Media Control for Computer/Desktop/PC/Laptop/Surface/Smart TV/Windows 10/8/7",14.99,4.3,347
88,B07YF98LDJ,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",34.99,4.4,10062
89,B087HFVLRK,X9 Performance Wireless Ergonomic Keyboard with Wrist Rest - Comfort meets Productivity - USB Wireless Keyboard with 104 Keys and 2 Tone Shiny Matte Finish - 2.4G RF PC Keyboard for Laptop or Computer,26.99,4.3,262
90,B086QCKTMZ,NEW Microsoft Surface Go Type Cover - Black,69.0,4.8,326
91,B00ZOPVSKW,Logitech K830 Illuminated Living-Room Keyboard with Built-in Touchpad – Easy-access Media Keys and Shortcut Keys for Windows or Android,,4.4,3146
92,B07796MBJ7,"Logitech G613 LIGHTSPEED Wireless Mechanical Gaming Keyboard, Multihost 2.4 GHz + Blutooth Connectivity - Black",,4.5,2807
93,B079JLY5M5,"Logitech MK270 Wireless Keyboard and Mouse Combo - Keyboard and Mouse Included, Long Battery Life",,4.6,40114
94,B00ZYLMQH0,Dell Wired Keyboard - Black KB216 (580-ADMT),,4.6,9517
95,B06ZZF95T6,"Lenovo Preferred Pro II Wired External USB Keyboard ( 4X30M86879) Factory Sealed Retail Product For USA, black",24.95,4.6,583
96,B07YFFKH27,Logitech iPad (7th and 8th generation) Keyboard Case | Slim Folio with integrated wireless keyboard (Graphite),,4.5,1171
97,B08MT55MX3,"ONIKUMA Mechanical Keyboard and Mouse Combo, Wired 89 Keys Backlit Gaming Keyboard with Number Keys & Blue Switch for PC Gamer Computer Laptop, UP to 6400 DPI Mouse with 7 Buttons",34.99,5.0,9
98,B08J6FC3F3,Corsair K60 RGB Pro Low Profile Mechanical Gaming Keyboard - Cherry MX Low Profile Speed Mechanical Keyswitches – Slim and Streamlined Durable Aluminum Frame - Customizable Per-Key RGB Backlighting,102.99,4.6,167
99,B088CW5XTL,"NPET 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad, Ergonomic Design Wireless Keyboard with Easy Media Control for Computer/Desktop/PC/Laptop/Surface/Smart TV/Windows 10/8/7",14.99,4.3,347
100,B01NAVO5PF,Logitech MK850 Performance Wireless Keyboard and Mouse Combo,79.99,4.5,1514
101,B084ZCSB2T,"Wireless Keyboard and Mouse, Jelly Comb 2.4G USB Keyboard Mouse Combo Slim Ergonomic Quiet Energy-Saving Keyboard Mouse Set for Windows, Computer, Desktop, PC, Notebook, Laptop-KS27-2-Black and Blue",22.99,4.5,924
102,B07XXNJX9C,"Wireless Keyboard and Mouse Combo, WisFox 2.4G Full-Size Slim Thin Wireless Keyboard Mouse for Windows, Computer, Desktop, PC, Laptop Mac (Black)",34.99,4.4,2718
103,B07NNWRX76,"Wireless Keyboard and Mouse, Jelly Comb 2.4GHz Ultra Thin Full Size Wireless Keyboard Mouse Combo Set with Number Pad for Computer, Laptop, PC, Desktop, Notebook, Windows 7, 8, 10-(Black)",29.99,4.5,4263
104,B07P6K5GMY,RedThunder One Handed Gaming Keyboard RGB Backlit 35 Keys Portable Mini Gaming Keypad Ergonomic Game Controller for PC PS4 Xbox Gamer,16.99,4.4,1599
105,B08F37RG3Y,"Sweet Alice Mechanical Gaming Keyboard, Compact 89 Keys RGB Backlit Floating Mechanical Keyboard with Multimedia Keys and with Number Keys,Spill-Resistant for Windows PC Gamer-Black",29.99,4.9,55
106,B08HSY2P1Z,"Wireless Keyboard and Mouse Backlit- with Illuminated Keyboard, seenda Rechargeable Full-Sized Keyboard and Mouse Combo for Windows Computer, Laptop, Desktop (Space Grey)",49.99,4.5,104
107,B086PDNSPP,Razer Ornata V2 Gaming Keyboard: Hybrid Mechanical Key Switches - Customizable Chroma RGB Lighting - Individually Backlit Keys - Detachable Plush Wrist Rest - Programmable Macros,,4.7,7625
108,B07RQVB3HQ,"Manhattan Black Wired Keyboard (5 ft. USB-A Cable) with 104-keys, Foldable Stands, and LED Indicator Lights - Compatible for Windows",11.57,4.3,1224
109,B084QGWFTH,X9 Performance Slim 2.4G USB Wireless Keyboard for Laptop or Computer - Designed for Windows - 110 Key Layout with Numeric Keypad and 17 Shortcut Keys - Rechargeable PC Keyboard Wireless - Aluminum,31.99,4.5,252
110,B088CW5XTL,"NPET 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad, Ergonomic Design Wireless Keyboard with Easy Media Control for Computer/Desktop/PC/Laptop/Surface/Smart TV/Windows 10/8/7",14.99,4.3,347
