,ASIN,title,price,rating,review_count
56,B07C48ZYXR,"Mpow H7 Bluetooth Headphones, Comfortable Over Ear Wireless Headphones, HiFi Stereo Headset, Wireless Wired Mode, CVC6.0 Microphone for Kids, Adults, Cellphone, Online Class, Home Office, PC",25.99,4.5,19266
57,B08HMWZBXC,"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth Headphones, Connect to 2 Devices",79.99,4.6,3366
58,B085M31H37,"Bluetooth Headphones, Wireless Noise Cancelling Over Ear Headphones with Bass Up EQ Mode HiFi Stereo Sound CVC8.0 Microphone Headphones Compatible for Travel, Home Office Foldable Comfortable",49.99,4.5,192
59,B07HL1H93Y,"Riwbox Bluetooth Headphones, Riwbox CT-7 Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",26.38,4.6,8759
60,B01EF5DBZ6,AILIHEN C8 Wired Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Chromebook Smartphones Laptop Computer PC Mp3/4 (Black/Blue),19.98,4.3,18531
61,B077YG22Y9,COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30H Playtime for Travel/Work/TV/Computer/Cellphone - Black,79.99,4.4,25799
62,B08FSND2BR,"Wireless Bluetooth Earbuds with Mic, WSHDZ T7 Touch Control Waterproof Immersive Bass Stereo Noise Cancelling Headphones, Portable Charging Case with LED Display, Headset for Sports, Home, Work Black",19.9,4.2,804
63,B078XZX9MD,Elecder i37 Kids Headphones Children Girls Boys Teens Foldable Adjustable On Ear Headphones 3.5mm Jack Compatible Cellphones Computer MP3/4 Kindle School Tablet Green/Purple,14.99,4.6,15971
64,B08TQJSJLP,"OneOdio Bluetooth Headphones, Studio Over Ear Headphones with Shareport, Foldable, Wired and Wireless Professional Monitor Recording Headphones with Stereo Sound for Electric Drum Piano Guitar Amp",45.99,4.5,6338
65,B07SHH37M6,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",12.98,4.5,19024
66,B07VDQHRGF,"4 Pairs Earbud Headphones with Remote & Microphone in Ear Earphone Stereo Sound Noise Isolating Tangle Free,Fits All 3.5mm Interface Device (Black+Silver+Gold+Pink)",9.99,4.2,969
67,B08L37T43T,2 Pack Headphones/Earphones/Earbuds 3.5mm Wired Headphones Noise Isolating Earphones with Built-in Microphone & Volume Control Compatible with Phone 6 Plus SE 5S 4 Pod Pad Samsung/Android MP3,9.99,4.1,127
68,B07MF6QJBM,"POWMEE M1 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children (Blue)",12.99,4.7,8241
69,B07J2Z5DBM,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,23.99,4.3,177023
70,B07KQS84WH,Elecder i39 Headphones with Microphone Foldable Lightweight Adjustable On Ear Headsets with 3.5mm Jack for Cellphones Computer MP3/4 Kindle School (Mint/Gray),15.99,4.4,7583
71,B07PDDK7TV,"AfterShokz Titanium Bone Conduction Wireless Bluetooth Headphones, Canyon Red",79.95,4.5,15167
72,B089SQHF5B,"Mpow CH6 Plus Kids Bluetooth Headphones with Microphone Over Ear for Teens up to 15 Hours Playtime, Bluetooth 5.0 Wireless Headsets with HD Stereo Sound, for School, Travel, Cellphones, Tablets, PC",19.99,4.6,1585
73,B08LDRBWCZ,"Sleep Headphones Bluetooth Headband,Upgrage Soft Sleeping Wireless Music Sport Headbands, Long Time Play Sleeping Headsets with Built in Speakers Perfect for Workout, Running, Yoga (Navy Blue)",22.88,4.3,12107
74,B083ZVN4L9,"Sleep Headphones Bluetooth 5.0 Sleeping Headphones Headband 10H Music - Elastic Comfortable Wireless Headband Headphone for Side Sleeper, Gifts for Men Women Birthday Valentine's Day",19.86,4.4,2560
75,B07Q9MJKBV,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",,4.5,17075
76,B08MJV4X7R,"Bluetooth Headphones Over Ear, Pollini Wireless Headset V5.0 with Deep Bass, Soft Memory-Protein Earmuffs and Built-in Mic for iPhone/Android Cell Phone/PC/TV (Black)",28.99,4.5,1045
77,B07D3P2J6C,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Rose Gold)",25.99,4.4,27052
78,B08J7SJ4Q5,"Wireless Earbuds, TaoTronics Bluetooth 5.0 Headphones Soundliberty 97 True Wireless Earphones in-Ear with mic CVC 8.0 Noise Cancelling AptX Stereo Bass Touch Control IPX8 Waterproof 9H Playtime",42.49,4.6,2978
79,B07L6X8KFH,"Wholesale Bulk Earphone Earbud Headphone-Kaysent(KHP-10B) 10 Pack Wholesale Headphones for School,Airplane,Hospital,Students,Kids and Adults",33.98,4.1,1015
