,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,is discontinued by manufacturer,ink color,manufacturer,rating,international shipping,chipset brand,graphics coprocessor,series,hard drive interface,processor brand,pricing,hard drive rotational speed,color name,number of usb 2.0 ports,product dimensions,card description,other display features,power source,manufacturer part number,colour,flash memory size,item package quantity,package dimensions,binding,optical drive type,memory speed,batteries included?,screen resolution,brand,item model number,wireless type,size,connectivity technology,graphics card ram size,max screen resolution,shape,material,standing screen display size,ASIN,national stock number,release date,department,battery cell type,processor count,model number,form factor,color,included components,connectivity technologies,number of items,best sellers rank,batteries,os,average battery life (in hours),computer memory type,voltage,device interface - primary,battery description,special features,hardware platform,item dimensions  lxwxh,domestic shipping,operating system,part number,batteries required,date first available,brand name,type of bulb,language,expansion,item weight,rated,number of usb 3.0 ports,material type,rear webcam resolution,batteries required?
192,Microsoft Sculpt Ergonomic Desktop USB Port Keyboard and Mouse Combo (L5V-00002),,,,,https://www.amazon.com//Microsoft-Ergonomic-Desktop-Keyboard-L5V-00002/product-reviews/B00DUV01SC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Microsoft,4.6,,,,,,,,,,,67 x 279 x 549 inches,,,,,,,,,,,,,,Microsoft,L5V-00002,2.4 GHz Radio Frequency,,,,,,,,B00DUV01SC,,,,,,,,,,,,#41 in Computer Keyboard & Mouse Combos,2 AAA batteries required. (included),,,,,,,,,67 x 279 x 549 inches,,,,,"August 5, 2013",,,English,,2.07 pounds,,,,,
193,"HUO JI E-Yooso Z-88 Retro Mechanical Gaming Keyboard, Programmable RGB Backlit, Blue Switch -Tactile & Clicky, Typewriter Style, Water Resistant 104 Keys Anti-Ghosting for Mac PC, White",Spring in Original,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A5DH81C821W8U&isAmazonFulfilled=1,,,https://www.amazon.com//Mechanical-Programmable-Typewriter-Resistant-Anti-Ghosting/product-reviews/B07ML3DXSR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,HUO JI,4.6,,,,,,,,,,,16.9 x 4.84 x 1.46 inches,,,,,,,,,,,,,,,,,,,,,,,,B07ML3DXSR,,,,,,,,,,,,"#2,503 in Video Games ( See Top 100 in Video Games ) #186 in PC Gaming Keyboards",,,,,,,,,,,,,,,"January 2, 2019",,,,,2 pounds,,,,,
194,"Macally 2.4G Wireless Keyboard for Laptop Computer, Desktop PC, Surface Pro, Smart TV - Ultra Slim Full Size Keyboard with Numeric Keypad - Compatible with Windows 10/8/7/Vista/XP, etc.",Jukegear,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EFL1J69ZJCO9&isAmazonFulfilled=1,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/130-9418268-3519715?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=83b1b72a-ff6b-4a90-9ee4-f0be28b2c665&pd_rd_w=OJXMy&pd_rd_wg=3LBCt&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1120K24RWN0A3ACSYFYR&psc=1&refRID=1120K24RWN0A3ACSYFYR,https://www.amazon.com//Macally-Wireless-Keyboard-Computer-Desktop/product-reviews/B07R21K3BQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Mace Group Inc / Macally Peripherals,4.5,,,,,,,,,,,17.5 x 5.5 x 0.75 inches,,,,,,,,,,,,,,,RFSSKEY,,,,,,,,,,,,,,,,,,,,,#160 in Computer Keyboards,,,,,,,,,,,,,,,"April 22, 2019",,,,,1.3 pounds,,,,,
195,"MOSISO Silicone Keyboard Cover Compatible with MacBook Pro 13/15 Inch (with/Without Retina Display, 2015 or Older Version),Older MacBook Air 13 Inch (A1466 / A1369, Release 2010-2017), Black",Mosiso,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3G9CCM7NUAREO&isAmazonFulfilled=1,MOSISO Compatible with MacBook Pro 13 inch Case 2015 2014 2013 end 2012 Older Version (Models: A1502…,https://www.amazon.com/MOSISO-Plastic-Compatible-MacBook-Release/dp/B00EXV66TQ/ref=pd_bxgy_2/137-4634069-1283142?_encoding=UTF8&pd_rd_i=B00EXV66TQ&pd_rd_r=2ecb9051-933e-41ba-baf3-721e08180cee&pd_rd_w=aNoeO&pd_rd_wg=uWlb5&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=BR18DRNS80PS2HM7RVAV&psc=1&refRID=BR18DRNS80PS2HM7RVAV,https://www.amazon.com//MOSISO-Keyboard-Silicone-Compatible-MacBook/product-reviews/B00GGZU0TE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Mosiso,4.4,,,,,,,,,,,12.7 x 5 x 0.2 inches,,,,,,,,,,,,,,MOSISO,2724571538509,,,,,,,,15 Inches,B00GGZU0TE,,,,,,,,Black,,,,#11 in Computer Keyboard Skins,,,,,,,,,,12.7 x 5 x 0.2 inches,,,,,"November 5, 2013",,,,,1.44 ounces,,,,,
196,"Wireless Keyboard and Mouse - Keyboard with Phone Holder, seenda 2.4GHz Silent USB Wireless Keyboard Mouse Combo, Full-Size Keyboard and Mouse for Computer, Desktop and Laptop (Blue)",WanyuUS,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A440M2DKM7WB9&isAmazonFulfilled=1,,,https://www.amazon.com//Wireless-Keyboard-Mouse-Full-Size-Computer/product-reviews/B08GLTN4Y4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Vivefox,4.7,,,,,,,,,,,,,,,,,,,17.6 x 8.74 x 1.89 inches,,,,,,,,,,,,,,,,B08GLTN4Y4,,,,,,,,,,,,#193 in Computer Keyboard & Mouse Combos,,,,,,,,,,,,,,,"August 25, 2020",,,,,1.63 pounds,,,,,
197,"ProCase Galaxy Tab A7 10.4 Inch 2020 Keyboard Case (SM-T500 T505 T507), Protective Cover Case with Detachable Wireless Keyboard for Galaxy Tab A7 10.4"" 2020 –Black",Tech Vendor,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2C3SMXXIDC93V&isAmazonFulfilled=1,"IVSO [2 Pack] Screen Protector for Samsung Galaxy Tab A7 (SM-T500/T505/T507) 10.4 2020, 9H Hardness…",https://www.amazon.com/IVSO-Bubble-Free-Anti-Scratch-Anti-Fingerprint-Installation/dp/B08DHKJ2W5/ref=pd_bxgy_2/144-4485602-0863266?_encoding=UTF8&pd_rd_i=B08DHKJ2W5&pd_rd_r=27d7ee3e-3c59-46d2-a05f-e3de6bb72e71&pd_rd_w=12sLo&pd_rd_wg=VNXrd&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=8SXFXAS9ZRQ25K3P1YM6&psc=1&refRID=8SXFXAS9ZRQ25K3P1YM6,https://www.amazon.com//ProCase-Galaxy-2020-T505-T507/product-reviews/B08JJ2TSCD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,ProCase,4.6,,,,,,,,,,,10.2 x 6.12 x 0.31 inches,,,,,,,,,,,,,,,Galaxy Tab A7 2020 T500/T505/T507,,,,,,,,,B08JJ2TSCD,,,,,,,,,,,,#141 in Tablet Keyboard Cases,,,,,,,,,,,,,,,"September 19, 2020",,,,,1.29 pounds,,,,,
198,"OMOTON iPad Keyboard with Numeric Keypad, Ultra Slim Wireless Bluetooth Keyboard for iPad Air 10.9/10.5, iPad Pro 12.9/11, iPad 8th 7th Gen 10.2, iPad 9.7, iPad Mini and More, Silver",iMaxwin Mall,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3G0D1WAM0FE2&isAmazonFulfilled=1,"iPad Mouse, OMOTON Bluetooth Mouse for iPad Air 4, iPad 8th/ 7th Gen, iPad Pro 12.9/ 11 (iPad OS 13…",https://www.amazon.com/OMOTON-Bluetooth-Mouse/dp/B082NS6LW8/ref=pd_bxgy_2/136-3003052-0637341?_encoding=UTF8&pd_rd_i=B082NS6LW8&pd_rd_r=8d45a447-79f1-49e6-b6c0-243f42b3bdbb&pd_rd_w=qnr7v&pd_rd_wg=Pt3VU&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=7GSBMM0DWNV37VV0CTYB&psc=1&refRID=7GSBMM0DWNV37VV0CTYB,https://www.amazon.com//OMOTON-Bluetooth-Keyboard-Ultra-Slim-Generation/product-reviews/B083JCTF82/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,OMOTON,4.6,,,,,,,,,,,,,,,,,,,14.25 x 5.43 x 1.02 inches,,,,,,,,,,,,,,,,B083JCTF82,,,,,,,,,,,,#34 in Tablet Keyboards,,,,,,,,,,,,,,,"January 6, 2020",,,,,13.3 ounces,,,,,
199,"Keyboard Case for iPad Pro 12.9 2020 4th Generation, iPad Pro 12.9 Case with Keyboard 3rd Generation 2018 - Wireless Detachable - with Pencil Holder - iPad Pro 12.9 inch Keyboard Case, Black",CHESONA,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A84XGEFKQC1EI&isAmazonFulfilled=1,"JETech Screen Protector for iPad Pro 12.9-Inch (2020 and 2018 Model, Edge to Edge Liquid Retina…",https://www.amazon.com/JETech-Protector-12-9-Inch-Generation-Compatible/dp/B07GZTBPNT/ref=pd_bxgy_2/144-4189864-8876906?_encoding=UTF8&pd_rd_i=B07GZTBPNT&pd_rd_r=c094e53c-572e-454c-bf2a-6da274579d06&pd_rd_w=g4UN6&pd_rd_wg=tHvOU&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=27NT5THV0P5SXJGD97BW&psc=1&refRID=27NT5THV0P5SXJGD97BW,https://www.amazon.com//iPad-Pro-12-9-2020-2018/product-reviews/B08DTFSK66/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,CHESONA,4.4,,,,,,,,,,,11.42 x 9.45 x 0.98 inches,,,,,,,,,,,,,,,iPad Pro 12.9 2020/2018,,,,,,,,,B08DTFSK66,,,,,,,,,,,,#12 in Tablet Keyboard Cases,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,"July 29, 2020",,,,,2.27 pounds,,,,,
200,"Galaxy Tab A7 10.4 Case with Keyboard - Detachable Wireless Keyboard - Premium Lightweight Stand Cover for Samsung Galaxy Tab A7 10.4 Inch 2020 SM-T500/T505/T507, Black",CHESONA,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A84XGEFKQC1EI&isAmazonFulfilled=1,Samsung Galaxy Tab A7 10.4 Wi-Fi 64GB Gray (SM-T500NZAEXAR),https://www.amazon.com/Samsung-Galaxy-10-4-Wi-Fi-SM-T500NZAEXAR/dp/B08GGYRCD5/ref=pd_bxgy_2/136-6819576-3427509?_encoding=UTF8&pd_rd_i=B08GGYRCD5&pd_rd_r=d1d29d4f-df4a-4116-863d-5e1e88025a25&pd_rd_w=Nrstq&pd_rd_wg=9McIz&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=CNZ4N23SA4CQ109S0BDG&psc=1&refRID=CNZ4N23SA4CQ109S0BDG,https://www.amazon.com//Galaxy-Tab-10-4-Case-Keyboard/product-reviews/B08SGR6FLQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,CHESONA,4.5,,,,,,,,,,,,,,,,,,,11.69 x 6.93 x 1.1 inches,,,,,,,,,,,,,,,,B08SGR6FLQ,,,,,,,,,,,,#270 in Tablet Keyboard Cases,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,"January 8, 2021",,,,,1.1 pounds,,,,,
201,"Jelly Comb Backlit Bluetooth Keyboard and 2.4 G+ Bluetooth Mouse Combo for The New iPad 10.2, iPad Air 4/3/2, iPad Pro 10.5/11/12.9, iPad 5 Gen&Later, iPad 7/6/5, iPad Mini 4 Gen&Later, iPhone, White",zyhetech,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AR3JCVKP9VKHF&isAmazonFulfilled=1,,,https://www.amazon.com//Jelly-Comb-Backlit-Bluetooth-Keyboard/product-reviews/B089SSLFRC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Jelly Comb,4.4,,,,,,,,,,,,,,,,,,,11.14 x 6.54 x 2.24 inches,,,,,,,,,,,,,,,,B089SSLFRC,,,,,,,,,,,,#128 in Computer Keyboard & Mouse Combos,,,,,,,,,,,,,,,"June 8, 2020",,,,,14 ounces,,,,,
202,Keyboard Case for iPad Pro 12.9 inch 2018-3rd Gen / 2020-4th Gen – Touchpad Keyboard Compatible with iPad Pro 12.9 – Backlight Protection Wireless Tablet Keyboard - Pencil Holder Included (Black),keyboard store,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A100IZDJQ554N3&isAmazonFulfilled=1,"JETech Screen Protector for iPad Pro 12.9-Inch (2020 and 2018 Model, Edge to Edge Liquid Retina…",https://www.amazon.com/JETech-Protector-12-9-Inch-Generation-Compatible/dp/B07GZTBPNT/ref=pd_bxgy_2/139-7558918-5360263?_encoding=UTF8&pd_rd_i=B07GZTBPNT&pd_rd_r=42ac88a8-889d-4191-a47e-30f1e2253379&pd_rd_w=uNIqB&pd_rd_wg=LYZJ9&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Q2C215SXX28SXJV04SV1&psc=1&refRID=Q2C215SXX28SXJV04SV1,https://www.amazon.com//Keyboard-Case-iPad-2018-3rd-2020-4th/product-reviews/B085NHCGBW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Phixnozar,4.4,,,,,,,,,,,9.4 x 6.7 x 0.6 inches,,,,,,,,,,,,,,,,,,,,,,,,B085NHCGBW,,,,,,,,,,,,#33 in Tablet Keyboard Cases,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,"November 30, 2019",,,,,2 pounds,,,,,
203,Logitech SLIM FOLIO PRO Backlit Bluetooth Keyboard Case for iPad Pro 12.9-inch (3rd and 4th gen) - Graphite,Olive Branch Enterprises,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E5DIZS2QHAR9&isAmazonFulfilled=1,,,https://www.amazon.com//Logitech-Backlit-Bluetooth-Keyboard-12-9-inch/product-reviews/B086LLNJQX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Logitech,4.5,,,,SLIM FOLIO,,,,,,,0.88 x 11.3 x 9.06 inches,,,,,,,,,,,,,,Logitech,920-009703,,,,,,,,,B086LLNJQX,,,,,,,,,,,,#13 in Tablet Keyboard Cases,1 Lithium Polymer batteries required. (included),,,,,,,,,0.88 x 11.3 x 9.06 inches,,,,,"April 11, 2020",,,,,2.19 pounds,,,,,
204,iPad Air 4th Generation 10.9 Inch Keyboard Case 2020-LUCKYDIY Wireless Keyboard Cover with Pencil Holder Keyboard Case for iPad Air 4th Gen with Magnetic Detachable (green-10.9),LUCKYDIY,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1WAKHTG75OPRX&isAmazonFulfilled=1,,,https://www.amazon.com//Generation-Keyboard-2020-LUCKYDIY-Detachable-green-10-9/product-reviews/B08NVX6CMJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,LUCKYDIY,4.5,,,,,,,,,,,9.84 x 7.87 x 0.59 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#118 in Tablet Keyboard Cases,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,"November 19, 2020",,,,,1.32 pounds,,,,,
205,"iPad Keyboard Case for iPad 6th Gen 2018, iPad 5th Gen 2017, iPad Pro 9.7, iPad Air 2, iPad Air 1, 360 Screen Rotation 7 Colors Backlight iPad Case with Keyboard - Rose Gold",BABG,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAH0CJ5ZN0CDJ&isAmazonFulfilled=1,Bluetooth Mouse Wireless Bluetooth Mouse for iPad Mac MacBook Pro MacBook Air iMac Chromebook…,https://www.amazon.com/Bluetooth-Wireless-MacBook-Chromebook-Computer/dp/B0814ZMYMS/ref=pd_bxgy_2/134-3099648-5251807?_encoding=UTF8&pd_rd_i=B0814ZMYMS&pd_rd_r=246d7cd7-3413-482d-8899-0d3e1418f10f&pd_rd_w=Y91F7&pd_rd_wg=w4vfq&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=G56SCWDJ8TEK33PEYXT0&psc=1&refRID=G56SCWDJ8TEK33PEYXT0,https://www.amazon.com//Keyboard-Rotatable-Backlit-Wireless-Keyboard/product-reviews/B07WYMG567/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,BABG,4.4,,,,,,,,,,,9.4 x 6.7 x 0.6 inches,,,,,,,,,,,,,,,f180+r,,,,,,,,,B07WYMG567,,,,,,,,,,,,#53 in Tablet Keyboard Cases,,,,,,,,,,,,,,,"August 24, 2019",,,,,1.9 pounds,,,,,
206,"White Gaming Keyboard and Mouse Combo,MageGee GK710 Wired Backlit Keyboard and White Gaming Mouse Combo,PC Keyboard and Adjustable DPI Mouse for PC/loptop/MAC …",MageGee.Store,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1UH8YJ3IWTUIS&isAmazonFulfilled=1,"PeohZarr Gaming Headset PS4 Headset Xbox One Headset, 7.1 Surround Sound, PC Headset with Crystal…",https://www.amazon.com/PeohZarr-Surround-Compatiable-Controller-Included/dp/B08LQKMHZT/ref=pd_bxgy_2/145-8454600-4261238?_encoding=UTF8&pd_rd_i=B08LQKMHZT&pd_rd_r=363e0816-de50-48ef-86e9-1f3195dae64d&pd_rd_w=xlB7d&pd_rd_wg=Y32WE&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=31AYDM4VF8TJ9WVZ0GQY&psc=1&refRID=31AYDM4VF8TJ9WVZ0GQY,https://www.amazon.com//Gaming-Keyboard-MageGee-Backlit-Adjustable/product-reviews/B07QJ8PJPJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,MageGee,4.6,,,,,,,,,,,,,,,,,,,21.37 x 8.62 x 1.89 inches,,,,,,,,,,,,,,,,B07QJ8PJPJ,,,,,,,,,,,,"#2,967 in Video Games ( See Top 100 in Video Games ) #39 in Mac Gaming Keyboards #211 in PC Gaming Keyboards",,,,,,,,,,,,,,,"April 9, 2019",,,,,2.31 pounds,,,,,
207,"Macally Wireless Keyboard and Mouse Combo Bundle for PC, Desktop Computer, Laptop, Notebook, ChromeBook - Ultra Slim Cordless Keyboard Mouse Combo Set, Compatible with Windows 10/8/7/Vista/XP, etc.",Jukegear,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EFL1J69ZJCO9&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/136-6619752-2837729?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=8cd927f6-cb0e-47f5-8013-105d618bfa76&pd_rd_w=CqU0t&pd_rd_wg=RW2eN&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=VQMZ1QH060RHKFXGXYD2&psc=1&refRID=VQMZ1QH060RHKFXGXYD2,https://www.amazon.com//Macally-Wireless-Keyboard-Computer-ChromeBook/product-reviews/B07R21VMY7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Mace Group Inc / Macally Peripherals,4.5,,,,,,,,,,,,,,,,,,,19.3 x 8.9 x 3.7 inches,,,,,,,RFSSKEYCOMBO,,,,,,,,,B07R21VMY7,,,,,,,,,,,,#264 in Computer Keyboard & Mouse Combos,1 AA batteries required.,,,,,,,,,,,,,,"April 22, 2019",,,,,1.6 pounds,,,,,
208,Dell Keyboard KB212-B,Dealz4us,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3JUAECLNBEZPB&isAmazonFulfilled=1,Dell Optical Mouse MS116 (275-BBCB),https://www.amazon.com/Dell-Optical-Mouse-MS116-275-BBCB/dp/B012DT5U96/ref=pd_bxgy_2/133-4323463-0148404?_encoding=UTF8&pd_rd_i=B012DT5U96&pd_rd_r=96b43f11-3efa-47c5-9a17-70c3fc9dc89e&pd_rd_w=9fsXt&pd_rd_wg=dmWg8&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Y2RC6X5FW77ZX7BNH3G6&psc=1&refRID=Y2RC6X5FW77ZX7BNH3G6,https://www.amazon.com//Dell-FBA_884116173823-Keyboard-KB212-B/product-reviews/B00U7QJ1DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Dell Computers,4.4,,,,FBA_884116173823,,,,,,,5 x 17.4 x 0.43 inches,,,,,,,,,,,,,,Dell,FBA_884116173823,,,,,,,,,B00U7QJ1DY,,,,,,,,Black,,,,#182 in Computer Keyboards,,,,,,,,,,5 x 17.4 x 0.43 inches,,,,,"October 21, 2017",,,,,1.11 pounds,,,,,
209,"Multi-Device Bluetooth Keyboard for Mac/iPad/Android/Windows, Jelly Comb Slim Compact Bluetooth Keyboard with Number Pad| Seamless Switch Among 3 Devices (White and Silver, Rechargeable)",HiFtech,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A34LJK87PWY000&isAmazonFulfilled=1,"Bluetooth Wireless Mouse, Easy Switch to 3 Device, Vssoplor Rechargeable Type C Mouse Compatible…",https://www.amazon.com/Vive-Comb-Wireless-Bluetooth-Mouse/dp/B07PM242FX/ref=pd_bxgy_2/141-6334000-3515440?_encoding=UTF8&pd_rd_i=B07PM242FX&pd_rd_r=8d620674-ed94-465a-a33d-535df05fa5f4&pd_rd_w=O3yOn&pd_rd_wg=HlFpX&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=B3JV8K276FCEFTDYQY0J&psc=1&refRID=B3JV8K276FCEFTDYQY0J,https://www.amazon.com//Multi-Device-Bluetooth-Jelly-Comb-Rechargeable/product-reviews/B07XGH7TK6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,Jelly Comb,4.4,,,,,,,,,,,,,,,,,,,15 x 5.16 x 1.06 inches,,,,,,,,,,,,,,,,B07XGH7TK6,,,,,,,,,,,,#166 in Computer Keyboards,,,,,,,,,,,,,,,"September 6, 2019",,,,,1.17 pounds,,,,,
210,Macally Full Size Mac Wired Keyboard - Compatible with All Macs with USB Port - Durable Mac Keyboard with Number Pad & 16 Apple Shortcut Keys - Rubber Keycaps & Spill Proof - QKEYB (Black),Jukegear,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EFL1J69ZJCO9&isAmazonFulfilled=1,Macally Silent Wired Mouse - Slim & Compact USB Mouse for Apple Mac or Windows PC Laptop/Desktop…,https://www.amazon.com/Macally-Windows-Desktop-Computer-Compact/dp/B07HGVXJPK/ref=pd_bxgy_2/136-2744680-7629014?_encoding=UTF8&pd_rd_i=B07HGVXJPK&pd_rd_r=8fc181f4-1e16-4fa0-b2a8-0941c28a6773&pd_rd_w=GvE62&pd_rd_wg=yzmOh&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=GEJGFY66HKAC3GJA9XGC&psc=1&refRID=GEJGFY66HKAC3GJA9XGC,https://www.amazon.com//Macally-Full-Size-Keyboard-Compatible-Shortcuts/product-reviews/B07GBWZJF5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Mace Group Inc / Macally Peripherals,4.2,,,,,,,,,,,5.4 x 17.5 x 0.78 inches,,,,,,,,,,,,,,Macally,QKEYB,,,,,,,,,B07GBWZJF5,,,,,,,,Black,,,,#474 in Computer Keyboards,,,,,,,,,PC,5.4 x 17.5 x 0.78 inches,,Mac os,,,"August 5, 2018",,,,,1.05 pounds,,,,,
211,"Macally Ultra-Slim USB Wired Keyboard with Number Keypad for Apple Mac Pro, MacBook Pro/Air, iMac, Mac Mini, Laptop Computers, Windows Desktop PC Laptops, Silver (SLIMKEYPROA)",Jukegear,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EFL1J69ZJCO9&isAmazonFulfilled=1,"Soundance Laptop Stand, Aluminum Computer Riser, Ergonomic Laptops Elevator for Desk, Metal Holder…",https://www.amazon.com/Ergonomic-Compatible-Notebook-Soundance-LS1/dp/B07D74DT3B/ref=pd_bxgy_2/141-2108490-1225332?_encoding=UTF8&pd_rd_i=B07D74DT3B&pd_rd_r=13e7da8f-ee70-44ec-a53d-cb51d2d96fa0&pd_rd_w=4d99m&pd_rd_wg=IlqS8&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=VRT6DWPHSM5DHDHRSVAM&psc=1&refRID=VRT6DWPHSM5DHDHRSVAM,https://www.amazon.com//Macally-Ultra-Slim-Keyboard-Computers-SLIMKEYPROA/product-reviews/B07FFV7T4H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No,,Mace Group Inc / Macally Peripherals,4.3,,,,,,,,,,,6 x 17 x 1 inches,,,,,,,,,,,,,,,SLIMKEYPROA,,,,,,,,,B07FFV7T4H,,,,,,,,,,,,#93 in Computer Keyboards,,,,,,,,,,,,,,,"June 29, 2018",,,,,1 pounds,,,,,
